87,Tozi Korean BBQ Restaurant,"1265 N Milwaukee Avenue, Chicago 60622",41.9048000000,-87.6685970000,3,16754348,https://www.zomato.com/chicago/tozi-korean-bbq-restaurant-bucktown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16754348_CHAIN_bc7e0814c600b4982840d81dd22c2db8.jpg,3.3,41,
31,Indian Swaad,"500 W. Madison Street, 1st Floor 60661",41.8829500000,-87.6401820000,2,16757638,https://www.zomato.com/chicago/indian-swaad-west-loop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",0,2,
33,Gaylord Fine Indian Cuisine,"Walton Colonnade, 100 E Walton Street 60611",41.9000333333,-87.6252277778,3,16734491,https://www.zomato.com/chicago/gaylord-fine-indian-cuisine-gold-coast?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16734491_CHAIN_83509b75685416cc37559a8199757663_c.jpg,3.8,141,
37,Kama Indian Bistro,"9 S La Grange Road, La Grange 60525",41.8155833333,-87.8696222222,3,16752895,https://www.zomato.com/chicago/kama-indian-bistro-la-grange?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16752895_RESTAURANT_0c9a37c17e15aee90133631d445aacae_c.jpg,3.9,85,
39,Aroma Indian Cuisine,"270 Hawthorne Village Common, Vernon Hills 60061",42.2415320000,-87.9567970000,2,16752774,https://www.zomato.com/chicago/aroma-indian-cuisine-vernon-hills?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.6,88,
91,The Berghoff,"17 W Adams Street, Chicago 60603",41.8797861111,-87.6288444444,3,16732366,https://www.zomato.com/chicago/the-berghoff-loop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16732366_RESTAURANT_491de97cab2d1e42b7be33e330645fdd_c.JPG?output-format=webp,4.1,421,
95,Soul Vegetarian,"205 E. 75th Street, Chicago 60619",41.7581780000,-87.6196380000,2,16738222,https://www.zomato.com/chicago/soul-vegetarian-east-greater-grand-crossing?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.7,83,
100,Maoz Vegetarian,"Fashion Outlets Of Chicago, 5220 Fashion Outlets Way, Rosemont, Chicago 60018",41.9752319000,-87.8664756000,2,16756060,https://www.zomato.com/chicago/maoz-vegetarian-rosemont?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.1,16,
32,Indian Harvest,"796 Royal St. George Drive, Suite 101 60563",41.7843472222,-88.1640694444,3,16751690,https://www.zomato.com/chicago/indian-harvest-naperville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.8,114,
40,Shree Indian Vegetarian Restaurant,"655 N Cass Avenue, Westmont 60559",41.8121000000,-87.9758000000,2,16751222,https://www.zomato.com/chicago/shree-indian-vegetarian-restaurant-westmont?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.3,38,
